 367.59 -0.005699607603901 -0.005770505027393  0.159670111282940 -0.000000881894384 -0.158902777753697 0.161683555413052
 366.19 -0.005755152009922 -0.005827398799140  0.159439445899709 -0.000000906941189 -0.158665971665937 0.161468788765877
 364.80 -0.005811073954047 -0.005884693779358  0.159209424355196 -0.000000932683618 -0.158429757296692 0.161254800000368
 363.40 -0.005867374719992 -0.005942391636021  0.158980046908157 -0.000000959123406 -0.158194134404835 0.161041590590605
 362.02 -0.005924055581018 -0.006000494032339  0.158751313794630 -0.000000986292645 -0.157959102750974 0.160829162045364
 360.64 -0.005981117799724 -0.006059002626652  0.158523225227749 -0.000001014200876 -0.157724662048879 0.160617515827452
 359.26 -0.006038562627839 -0.006117919072283  0.158295781397427 -0.000001042870651 -0.157490811985433 0.160406653402709
 357.89 -0.006096391306019 -0.006177245017413  0.158068982470117 -0.000001072327123 -0.157257552230172 0.160196576232639
 356.52 -0.006154605063632 -0.006236982104954  0.157842828588549 -0.000001102585905 -0.157024882412732 0.159987285757064
 355.16 -0.006213205118554 -0.006297131972414  0.157617319871469 -0.000001133668680 -0.156792802133258 0.159778783408865
 353.81 -0.006272192676956 -0.006357696251766  0.157392456413342 -0.000001165598000 -0.156561310965010 0.159571070607913
 352.46 -0.006331568933097 -0.006418676569315  0.157168238284133 -0.000001198401621 -0.156330408483847 0.159364148774512
 351.11 -0.006391335069107 -0.006480074545580  0.156944665528994 -0.000001232089084 -0.156100094157209 0.159158019284299
 349.77 -0.006451492254779 -0.006541891795141  0.156721738168008 -0.000001266695950 -0.155870367497639 0.158952683546303
 348.44 -0.006512041647354 -0.006604129926533  0.156499456195911 -0.000001302241301 -0.155641227950025 0.158748142914909
 347.11 -0.006572984391309 -0.006666790542102  0.156277819581836 -0.000001338749424 -0.155412674928031 0.158544398768355
 345.79 -0.006634321618140 -0.006729875237874  0.156056828268989 -0.000001376254145 -0.155184707857463 0.158341452450618
 344.47 -0.006696054446150 -0.006793385603431  0.155836482174436 -0.000001414765874 -0.154957326055707 0.158139305290496
 343.15 -0.006758183980231 -0.006857323221780  0.155616781188764 -0.000001454324508 -0.154730528873978 0.157937958631532
 341.84 -0.006820711311647 -0.006921689669225  0.155397725175794 -0.000001494948262 -0.154504315593232 0.157737413764795
 340.54 -0.006883637517819 -0.006986486515233  0.155179313972378 -0.000001536671831 -0.154278685483150 0.157537672001735
 339.24 -0.006946963662106 -0.007051715322301  0.154961547387996 -0.000001579525573 -0.154053637772648 0.157338734629951
 337.95 -0.007010690793585 -0.007117377645845  0.154744425204580 -0.000001623535507 -0.153829171651611 0.157140602915790
 336.66 -0.007074819946835 -0.007183475034052  0.154527947176114 -0.000001668725054 -0.153605286282166 0.156943278117362
 335.37 -0.007139352141715 -0.007250009027766  0.154312113028475 -0.000001715134111 -0.153381980792615 0.156746761484101
 334.09 -0.007204288383145 -0.007316981160346  0.154096922458981 -0.000001762793904 -0.153159254269626 0.156551054243757
 332.82 -0.007269629660884 -0.007384392957551  0.153882375136267 -0.000001811733055 -0.152937105779918 0.156356157625381
 331.55 -0.007335376949308 -0.007452245937404  0.153668470699838 -0.000001861986260 -0.152715534332964 0.156162072817694
 330.28 -0.007401531207191 -0.007520541610074  0.153455208759873 -0.000001913587344 -0.152494538913084 0.155968801017221
 329.02 -0.007468093377476 -0.007589281477743  0.153242588896879 -0.000001966574473 -0.152274118500259 0.155776343403139
 327.77 -0.007535064387059 -0.007658467034469  0.153030610661388 -0.000002020979738 -0.152054271976461 0.155584701131643
 326.52 -0.007602445146560 -0.007728099766084  0.152819273573692 -0.000002076844773 -0.151834998228864 0.155393875352853
 325.27 -0.007670236550101 -0.007798181150050  0.152608577123512 -0.000002134200802 -0.151616296080459 0.155203867183498
